price,address,bds,ba,sqft,image
"$217,000","203 Parkridge Dr, Woodstock, GA 30189",2,2,"1,276",https://photos.zillowstatic.com/p_e/ISf87n5hj7spt70000000000.jpg
"$360,000","1090 Boxwood Ln, Canton, GA 30114",5,3,"3,029",https://photos.zillowstatic.com/p_e/ISr5hasbmm5p8s1000000000.jpg
"$422,000","102 Narrows Ct, Waleska, GA 30183",3,3,"1,832",https://photos.zillowstatic.com/p_e/ISqp4i5c4ml8jf0000000000.jpg
"$433,000","601 Red Leaf Way, Canton, GA 30114",4,3,"2,570",https://photos.zillowstatic.com/p_e/ISjjy6lxn3cuzw1000000000.jpg
"$460,000","855 Heathland Ct, Roswell, GA 30075",6,5,"5,800",https://photos.zillowstatic.com/p_e/ISb177a1bb97eb1000000000.jpg
"$540,000","308 Meadow Overlook, Woodstock, GA 30188",Studio,--,"5,315",https://photos.zillowstatic.com/p_e/ISbt48nj5l8nci0000000000.jpg
"$415,000","320 W Ridge Dr, Canton, GA 30114",5,4,"3,800",https://photos.zillowstatic.com/p_e/ISj3ek1uel28fr0000000000.jpg
"$265,000","376 Dogwood Pass, Ball Ground, GA 30107",4,2,"2,046",https://photos.zillowstatic.com/p_e/ISbh7inceyaflv0000000000.jpg
"$370,000","302 Blue Ridge Trce, Woodstock, GA 30189",4,4,"3,504",N/A
"$149,000","0 Marietta 10 11 #12, Canton, GA 30114",1,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$270,000","527 Drifton Way, Woodstock, GA 30188",Studio,--,"1,752","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$285,500","720 Woodstock Seven Dr, Woodstock, GA 30188",3,3,"1,894","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,030","270 Shoals Bridge Rd, Acworth, GA 30102",4,3,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$525,000","104 Royal Oaks Dr, Canton, GA 30115",4,4,"2,592","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","171 Townview Dr, Woodstock, GA 30189",3,3,"1,794","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
