price,address,bds,ba,sqft,image
"$48,000","569 N Of 569 Inman Rd, Fayetteville, GA 30215",2,N/A,N/A,https://photos.zillowstatic.com/p_e/ISrpk288g0rydl0000000000.jpg
"$850,000","3280 Bay View Dr, Jonesboro, GA 30236",5,5.5,"5,546",https://photos.zillowstatic.com/p_e/ISnm3kybwlkj1x0000000000.jpg
"$145,700","2771 Pattie Ct, Ellenwood, GA 30294",4,3,"1,681",https://photos.zillowstatic.com/p_e/ISn20o35pvich00000000000.jpg
"$169,900","7229 Mountain Laurel Way, Stockbridge, GA 30281",4,3,"2,244",https://photos.zillowstatic.com/p_e/ISn6viznxlsn6t0000000000.jpg
"$110,000","7436 Grayson Dr #6, Riverdale, GA 30296",3,2,"1,440",https://photos.zillowstatic.com/p_e/ISjn1ojnbeugru1000000000.jpg
"$200,000","3287 Jodeco Pl, Jonesboro, GA 30236",3,2,"1,633",https://photos.zillowstatic.com/p_e/ISvwwnfmzbwsf31000000000.jpg
"$100,000","1841 Freeman Rd, Jonesboro, GA 30236",4,2,"2,039",https://photos.zillowstatic.com/p_e/ISn2goe6von8kk1000000000.jpg
"$110,000","8475 Shiloh Ct, Jonesboro, GA 30238",4,2,950,https://photos.zillowstatic.com/p_e/ISf446jsk2xag41000000000.jpg
"$161,000","1239 Greenwood Ln, Riverdale, GA 30296",5,3,"1,053",https://photos.zillowstatic.com/p_e/ISznwouhcl4rvo1000000000.jpg
"$183,500","3375 Bonnes Ct, Ellenwood, GA 30294",3,3,"2,406","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$157,000","5685 Stagecoach Rd, Rex, GA 30273",3,2,"1,593",N/A
"$139,000","2806 Woodhollow Ln, Jonesboro, GA 30236",4,2,"1,332","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$255,000","1473 Judson Way #17, Riverdale, GA 30296",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
