price,address,bds,ba,sqft,image
"$446,500","273 Holland, Powder Springs, GA 30127",4,4,"2,994",N/A
"$450,000","4403 Cove Island Dr NE, Marietta, GA 30067",3,3,"2,441",https://photos.zillowstatic.com/p_e/ISvo6ifznprzzb0000000000.jpg
"$358,020","2835 Loftview Sq, Atlanta, GA 30339",3,4,"2,184",https://photos.zillowstatic.com/p_e/ISrhmu86hxn21p0000000000.jpg
"$557,500","3220 Collier Gate Ct SE, Smyrna, GA 30080",5,5,"4,846",https://photos.zillowstatic.com/p_e/ISnmvd0f02i0i70000000000.jpg
"$149,200","1923 Shenandoah Valley Ln SE #4, Smyrna, GA 30080",2,2,--,N/A
"$265,000","2366 Towneview Ct SE, Atlanta, GA 30339",3,4,"1,963",https://photos.zillowstatic.com/p_e/ISzvegq9rmu1z00000000000.jpg
"$269,000","4132 Chanticleer Dr NW #30, Kennesaw, GA 30152",4,3,"2,013",https://photos.zillowstatic.com/p_e/IS3bdoofz1qao11000000000.jpg
"$200,000","4799 Davenport Trce NW, Acworth, GA 30101",3,2,"1,256",https://photos.zillowstatic.com/p_e/ISjvvs1jqyrmka1000000000.jpg
"$230,000","3630 Lavilla Dr, Powder Springs, GA 30127",4,3,"1,752",https://photos.zillowstatic.com/p_e/ISvoe85rl7igq10000000000.jpg
"$233,500","2639 Shaw Rd NE, Marietta, GA 30066",3,2,"1,688","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$339,000","2875 Boone Dr NW, Kennesaw, GA 30144",--,N/A,N/A,N/A
"$196,500","4475 Twin Creek Dr NE, Kennesaw, GA 30144",4,3,"1,380","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$335,000","1860 Annwicks Dr, Marietta, GA 30062",4,3,"1,976","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$339,000","3980 Lake Dr SE, Smyrna, GA 30082",6,3,"1,740","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","531 Kennesaw Dr SE, Smyrna, GA 30080",3,1,"1,305","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$369,500","1262 Clipper Bay Ct, Powder Springs, GA 30127",5,3,"3,512","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$400,000","64 Vinings Lake Dr SW, Mableton, GA 30126",4,4,"3,542","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$465,000","3837 Fenway Xing, Marietta, GA 30062",4,3,"3,678",N/A
"$388,000","1309 Benbrooke Ln NW, Acworth, GA 30101",4,4,"4,420","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$339,000","2875 Boone Dr NW #22, Kennesaw, GA 30144",3,4,"2,183","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
