price,address,bds,ba,sqft,image
"$180,000","3153 Bobolink Dr, Decatur, GA 30032",4,2,"1,803",https://photos.zillowstatic.com/p_e/ISfsq3zg9cf61d0000000000.jpg
"$196,000","4293 Nelby Dr, Stone Mountain, GA 30083",3,2,"1,364",https://photos.zillowstatic.com/p_e/IS7m8v43tsj58c0000000000.jpg
"$570,000","3105 Brick Ln, Decatur, GA 30033",4,3,"2,873",https://photos.zillowstatic.com/p_e/ISzvqtgc9uy1dw1000000000.jpg
"$710,000","1426 Cortez Ln NE, Brookhaven, GA 30319",4,4,"3,305",https://photos.zillowstatic.com/p_e/ISjnt9f0t9ju8f1000000000.jpg
"$405,000","2762 Wilcshire Ct, Tucker, GA 30084",3,3,"2,099",https://photos.zillowstatic.com/p_e/ISnqebmqugne0l1000000000.jpg
$1.23M,"124 Superior Ave, Decatur, GA 30030",5,4,"5,247",https://photos.zillowstatic.com/p_e/ISz701em6ivzn91000000000.jpg
"$168,000","1850 Cotillion Dr UNIT 2221, Dunwoody, GA 30338",1,1,752,https://photos.zillowstatic.com/p_e/ISvwsoxd8vsgp90000000000.jpg
"$557,500","1878 Skyfall Cir NE #80, Brookhaven, GA 30319",4,4,"2,626",https://photos.zillowstatic.com/p_e/ISblq7vn8hw22s1000000000.jpg
"$334,000","3110 Nottaway Ct, Atlanta, GA 30341",3,2,"2,430",https://photos.zillowstatic.com/p_e/ISfsydskq627cy0000000000.jpg
"$232,500","4605 Park Dr, Pine Lake, GA 30072",1,1,784,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$580,000","1077 Shady Valley Pl NE, Atlanta, GA 30324",4,4,"2,755","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$345,000","1661 La France St NE UNIT 423, Atlanta, GA 30307",2,2,"1,476","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$141,800","5004 Sheila Ln, Stone Mountain, GA 30083",3,2,"1,296","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$167,500","4315 Newcastle Cir, Lithonia, GA 30038",4,3,"2,700",N/A
"$525,000","3907 Lawrenceville Hwy, Tucker, GA 30084",Studio,2,"6,100",N/A
"$490,000","1903 River Birch Ln, Atlanta, GA 30316",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$515,000","5115 Corners Dr, Atlanta, GA 30338",4,3,"3,160","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$477,500","1465 Wembley Ct NE, Atlanta, GA 30329",4,5,"3,761","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$63,000","4103 Par Three Way, Lithonia, GA 30038",3,2,"1,202","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$149,900","4598 Latchwood Dr, Lithonia, GA 30038",3,3,"1,527","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$125,000","3438 Ivys Walk BUILDING E, Atlanta, GA 30340",2,2,"1,196","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$175,000","501 Allana Dr, Stone Mountain, GA 30087",3,2,"1,623","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,000","1236 Francine Ct, Decatur, GA 30033",4,3,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$220,000","1492 Oakridge Cir, Decatur, GA 30033",2,2,"1,460","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$510,000","1680 Hosea Williams Dr SE, Atlanta, GA 30317",3,2,"1,662","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","7419 Ivory Oak Ln, Lithonia, GA 30058",6,4,"4,868","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$300,000","1480 Briaroaks Trl NE, Atlanta, GA 30329",2,2,"1,649","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$540,000","1748 Fairway Hill Dr SE, Atlanta, GA 30317",3,2,"1,976","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$241,000","1837 Rosewood Rd, Decatur, GA 30032",3,2,"1,294","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$105,000","2502 Bradford Sq NE, Atlanta, GA 30345",3,2,"1,320","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$125,000","1485 Peachcrest Ct, Decatur, GA 30032",3,2,"1,094","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$302,000","4607 Shire Dr, Lithonia, GA 30038",5,4,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$445,000","72 Lakeview Dr NE, Atlanta, GA 30317",3,2,"1,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$378,500","4637 Lionshead Cir, Lithonia, GA 30038",6,5,"4,923","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$397,661","961 Rittenhouse Way SE, Atlanta, GA 30316",3,3,"2,198","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$245,000","4652 Mayer Trce, Ellenwood, GA 30294",4,3,"3,136","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$265,000","222 Ashford Cir #222, Atlanta, GA 30338",2,2,"1,234","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$500,000","1293 Peachtree Vw NE, Brookhaven, GA 30319",3,4,"2,143","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$294,500","232 Carlyle Park Dr NE, Atlanta, GA 30307",2,2,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$121,000","4009 Woodridge Way, Tucker, GA 30084",2,2,"1,182","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$535,000","1652 Harts Mill Rd NE, Brookhaven, GA 30319",3,3,100,https://photos.zillowstatic.com/p_e/ISv8qi8k9r8yeq1000000000.jpg
"$423,000","4566 Amberly Ct S, Dunwoody, GA 30360",5,3,"2,893",https://photos.zillowstatic.com/p_e/ISbp1z2mjgbpxh1000000000.jpg
"$271,500","3144 Vine Cir, Decatur, GA 30033",3,1,"1,333",https://photos.zillowstatic.com/p_e/IS7artm6ycw1lg0000000000.jpg
"$284,900","1661 La France St NE, Atlanta, GA 30307",1,2,"1,056",https://photos.zillowstatic.com/p_e/IS3v0cqhbi26zc1000000000.jpg
"$375,000","2288 Hunting Valley Dr, Decatur, GA 30033",2,2,"1,342",https://photos.zillowstatic.com/p_e/ISvwg3p3apyebi0000000000.jpg
"$265,000","222 Ashford Cir #222, Atlanta, GA 30338",2,2,"1,234",https://photos.zillowstatic.com/p_e/ISrtjk0blkr03i0000000000.jpg
"$423,500","92 Roseclair Dr SE, Atlanta, GA 30317",3,2,"1,738",N/A
"$87,000","8874 Pleasant Hill Rd LOT 0, Lithonia, GA 30058",3.4,N/A,N/A,https://photos.zillowstatic.com/p_e/ISbdweu5hvxzh90000000000.jpg
"$935,000","3509 Hillstone Ct NE, Brookhaven, GA 30319",6,5,"5,386",https://photos.zillowstatic.com/p_e/ISnyw2e7ak5f3l0000000000.jpg
"$580,000","1463 Meadowcreek Ct, Atlanta, GA 30338",4,3,"2,274","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$455,000","218 Jefferson Pl, Decatur, GA 30030",3,2,"1,314","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$540,000","1689 Manhasset Pl, Dunwoody, GA 30338",4,4,"3,507","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$87,000","8874 Pleasant Hill Rd, Lithonia, GA 30058",3.4,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,000","3829 Oxford Cir, Doraville, GA 30340",--,--,--,N/A
"$401,000","1825 Colt Dr, Chamblee, GA 30341",2,2,"1,242","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$225,000","4127 Kingship Dr, Ellenwood, GA 30294",4,3,"2,498","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$154,000","4813 Buchli Ln, Lithonia, GA 30038",4,2,"1,488","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$219,000","3172 Evans Mill Rd, Lithonia, GA 30038",3,2,"3,889","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$385,000","1823 Belle Meade Ct, Stone Mountain, GA 30087",4,5,"3,594","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$232,500","1128 Smith St, Clarkston, GA 30021",4,3,"1,617","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$132,600","3400 Lark Ln, Decatur, GA 30032",3,2,"1,343","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","253 Lamon Ave SE, Atlanta, GA 30316",3,1,"1,192","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$242,500","1364 Weatherstone Way NE, Atlanta, GA 30324",2,2,"1,344","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$269,900","2035 Lilac Ln, Decatur, GA 30032",3,2,"1,312","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$499,990","1374 Oldfield Rd, Decatur, GA 30030",4,3,"2,174","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$270,000","2829 Blue Grass Ln, Decatur, GA 30034",5,3,"2,880","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
