price,address,bds,ba,sqft,image
"$685,000","250 Old Ivy, Fayetteville, GA 30215",5,6,"5,632",https://photos.zillowstatic.com/p_e/ISb5a80il7u12j0000000000.jpg
"$790,000","705 Approach Dr, Peachtree City, GA 30269",6,6,"5,379",https://photos.zillowstatic.com/p_e/IS72puvlrgtg8p0000000000.jpg
"$377,000","405 Holly Grove Church Rd, Peachtree City, GA 30269",4,3,"2,302",https://photos.zillowstatic.com/p_e/ISnqu3fw17hrkh1000000000.jpg
"$412,000","111 Reflections Point, Fayetteville, GA 30215",4,4,"3,430",https://photos.zillowstatic.com/p_e/ISzvq1r5x6jxsu1000000000.jpg
"$310,000","100 Gray Fox Point, Fayetteville, GA 30214",4,4,"2,573",https://photos.zillowstatic.com/p_e/ISnmb2ips79n6q0000000000.jpg
"$413,000","125 Hopeton Ter, Fayetteville, GA 30215",4,3,"2,935",https://photos.zillowstatic.com/p_e/ISrpw7g3umr0801000000000.jpg
"$259,000","107 Kraftwood Park, Peachtree City, GA 30269",3,2,"1,384",https://photos.zillowstatic.com/p_e/ISnq22vdntqcnd0000000000.jpg
"$250,000","204 Deergrass Trl, Peachtree City, GA 30269",3,2,"1,472",https://photos.zillowstatic.com/p_e/ISvwgnk5o4j7860000000000.jpg
"$386,560","88 Chapman Farm Rd LOT 17, Senoia, GA 30276",4,4,"4,123",https://photos.zillowstatic.com/p_e/ISbdwaz2fad7m80000000000.jpg
"$265,000","118 Rubicon Rd, Peachtree City, GA 30269",3,4,"1,912","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$435,000","360 Emerald Lake Dr, Fayetteville, GA 30215",5,5,"5,402","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$250,000","6 Dover Trl, Peachtree City, GA 30269",2,3,"1,979","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$490,000","315 Lilac Path, Peachtree City, GA 30269",5,4,"3,139","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,550","130 Essex Cir, Fayetteville, GA 30215",4,3,"2,547","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$459,900","486 Lees Lake Rd, Fayetteville, GA 30214",3,4,"4,525","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$186,000","308 Morgans Turn, Peachtree City, GA 30269",3,2,"1,345","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$139,000","11 Cobblestone Crk, Peachtree City, GA 30269",2,2,"1,236","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$218,600","541 Covered Bridge Trl, Fayetteville, GA 30214",3,2,"2,080","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$274,320","603 Las Brasis Ct, Peachtree City, GA 30269",3,4,"2,128","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$268,000","135 Summer Brooke, Peachtree City, GA 30269",4,2,"1,621","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$477,000","420 Stonewyck Dr, Tyrone, GA 30290",5,4,"3,575","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$820,000","125 Meeting House Rd, Fayetteville, GA 30215",5,5,"3,785","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$353,000","1310 Yarborough Dr, Peachtree City, GA 30269",4,3,"2,450","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$546,000","188 Carson Rd #4, Brooks, GA 30205",4,4,"3,286","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
