price,address,bds,ba,sqft,image
"$297,000","40 Booker St NW, Atlanta, GA 30314",4,3,"1,779",https://photos.zillowstatic.com/p_e/ISz35inrpl2y701000000000.jpg
"$359,550","2157 Old Georgian Ter NW UNIT 49, Atlanta, GA",3,4,"2,203",https://photos.zillowstatic.com/p_e/ISrdjx99ro5yhv1000000000.jpg
"$230,000","6900 Roswell Rd, Sandy Springs, GA 30328",4,3,"1,434",https://photos.zillowstatic.com/p_e/ISbplucyegqpkn1000000000.jpg
"$888,888","11850 Little Creek Xing, Alpharetta, GA 30005",7,6,"8,154",https://photos.zillowstatic.com/p_e/ISj7lc70yybjrm0000000000.jpg
"$470,000","12517 Kensington Blvd, Johns Creek, GA 30005",5,4,"3,269",https://photos.zillowstatic.com/p_e/IS3nisgcvswi0p1000000000.jpg
"$659,000","5 Wieuca Trce NE, Atlanta, GA 30342",4,3,"3,136",https://photos.zillowstatic.com/p_e/IS76o0ftwoqwf60000000000.jpg
"$433,000","3030 Fenwood Trl, Roswell, GA 30075",4,3,"2,892",https://photos.zillowstatic.com/p_e/ISjz6kpxohqxyz0000000000.jpg
"$232,000","6737 Delaware Bnd, Fairburn, GA 30213",4,3,"2,286",https://photos.zillowstatic.com/p_e/ISzrrvzzbxwcu00000000000.jpg
"$285,700","1392 Clermont Ave, East Point, GA 30344",3,2,"1,456",https://photos.zillowstatic.com/p_e/ISb17r578gxvat1000000000.jpg
"$355,000","3126 Abbey Dr SW, Atlanta, GA 30331",5,4,"3,412","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$68,000","3105 Jones St, East Point, GA 30344",2,1,928,N/A
$1.80M,"1889 Hollywood Rd NW, Atlanta, GA 30318",3.2,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$430,000","950 W Peachtree St #1011, Atlanta, GA 30309",2,2,"1,091","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$425,000","10980 Pennbrooke Xing, Johns Creek, GA 30097",4,3,"2,888","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$285,000","10100 Windrush Ln #10, Alpharetta, GA 30009",2,2,"1,350","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$475,000","749 Hamilton Cir SE, Atlanta, GA 30312",3,4,"2,073","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$230,000","3314 Pine Heights Dr NE, Atlanta, GA 30324",2,2,"1,504","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$412,500","8015 Glisten Ave, Sandy Springs, GA 30328",3,3,"2,114","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
$1.12M,"8325 Jett Ferry Rd, Sandy Springs, GA 30350",5,5,"4,794","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$320,000","4207 Harris Ridge Ct, Roswell, GA 30076",3,2,"1,632","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$470,000","10500 Turner Rd, Roswell, GA 30076",4,3,"3,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$50,000","2020 Lexington Ave LOT 0, Atlanta, GA 30344",0.41,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$80,000","2912 Briarwood Blvd, East Point, GA 30344",3,2,"1,171","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$316,000","1087 Winburn Dr, East Point, GA 30344",3,2,"2,180","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$50,000","2020 Lexington Ave, East Point, GA 30344",0.41,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$171,000","7722 Bucknell Ter, Fairburn, GA 30213",3,4,"1,632","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$184,000","3777 Peachtree Rd NE APT 1014, Brookhaven, GA 30319",1,1,903,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,000","536 Glen Iris Dr NE, Atlanta, GA 30308",3,1,"1,194","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
