price,address,bds,ba,sqft,image
"$226,250","3826 Dandridge Way, Duluth, GA 30096",3,3,"1,696",https://photos.zillowstatic.com/p_e/ISzng0tz4htoo91000000000.jpg
"$373,000","3240 Kittiwake Cir, Norcross, GA 30092",3,3,"2,822",https://photos.zillowstatic.com/p_e/ISvk7odhjacbv90000000000.jpg
"$242,000","5218 Leecroft Dr, Sugar Hill, GA 30518",4,2,"1,864",https://photos.zillowstatic.com/p_e/ISjvjvbrdetc2r1000000000.jpg
"$135,000","2681 Highpoint Rd, Snellville, GA 30078",5,3,"2,000",https://photos.zillowstatic.com/p_e/ISbl21iujiohtx0000000000.jpg
"$302,990","2958 Estate View Ct #151, Dacula, GA 30019",4,3,"2,894",https://photos.zillowstatic.com/p_e/IS7arte08gr1zv0000000000.jpg
"$260,000","333 Nancy Ct SW, Lilburn, GA 30047",3,3,"1,597",https://photos.zillowstatic.com/p_e/ISvomiu72bg1o50000000000.jpg
"$274,000","2759 Sterling Dr, Lawrenceville, GA 30043",4,3,"2,627",https://photos.zillowstatic.com/p_e/ISvkv2lnsvno4c1000000000.jpg
"$260,000","2311 Laura Ct, Snellville, GA 30039",4,3,"2,755",https://photos.zillowstatic.com/p_e/ISvwcwwxnlkdwb0000000000.jpg
"$218,000","2751 Hickory Trl, Snellville, GA 30078",3,3,"1,664",https://photos.zillowstatic.com/p_e/IS7uy4obt2fis31000000000.jpg
"$199,000","4170 Magnolia Glen Walk, Norcross, GA 30093",4,3,"1,728","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$71,000","754 Alcovy Way, Lawrenceville, GA 30043",--,--,--,N/A
"$267,500","1294 Park Pass Way, Suwanee, GA 30024",3,4,"1,674","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$285,000","5050 Glencliff Dr, Sugar Hill, GA 30518",5,3,"2,193","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$302,400","3062 Hawthorn Farm Blvd, Loganville, GA 30052",4,4,"2,812","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$485,000","1620 Kingsley Ct, Lawrenceville, GA 30043",5,6,"5,155","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$320,000","4656 Chimney Rock Dr SW, Lilburn, GA 30047",4,3,"2,963","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$340,000","116 Little Barley Ln, Grayson, GA 30017",6,5,"3,236",N/A
"$347,000","3920 Ancroft Cir, Norcross, GA 30092",4,3,"2,672","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$214,000","3000 Dunlin Lake Way, Lawrenceville, GA 30044",4,3,"2,156",N/A
"$180,200","2837 Rosemont Dr, Lawrenceville, GA 30044",4,3,"2,602","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$286,500","2818 Estate View Ct, Dacula, GA 30019",5,3,"2,831","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,740","2755 Cypress Ridge Dr, Loganville, GA 30052",5,4,"2,833","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$279,900","3095 Blackshear Ct, Lawrenceville, GA 30044",4,3,"2,408",N/A
"$194,500","4322 Cedar Pointe Dr, Snellville, GA 30039",3,2,"1,487","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$340,000","4650 Glen Level Dr, Sugar Hill, GA 30518",4,3,"2,841","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$270,000","1360 Middleburg Hunt, Lawrenceville, GA 30043",4,3,"2,560","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$250,000","1065 Roberts Dr, Sugar Hill, GA 30518",3,2,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$330,000","4655 Allison Dr, Sugar Hill, GA 30518",4,3,"2,429","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$371,000","1607 Greenspring Ct, Hoschton, GA 30548",5,3,"3,129","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$169,000","2604 Laurel View Dr, Snellville, GA 30039",3,2,"1,578","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$284,000","2305 Linstone Ln, Grayson, GA 30017",5,4,"2,865","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$177,000","448 Spring Head Ct, Lawrenceville, GA 30046",3,3,"1,788","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$219,888","3446 Pate Creek Vw, Snellville, GA 30078",4,3,"2,152","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$135,000","582 Oak Way, Lawrenceville, GA 30046",3,2,"1,095","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$361,000","333 Lake Forest Ct, Lawrenceville, GA 30043",4,3,"4,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$253,600","3550 River Summit Trl, Duluth, GA 30097",4,3,"2,246","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$320,000","3515 Ansley Park Dr, Suwanee, GA 30024",5,3,"2,523","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$327,595","6149 Wheeler Ridge Rd., Auburn, GA 30011",4,4,"3,500",N/A
"$195,000","756 Arbor Gate Ln, Lawrenceville, GA 30044",4,4,"1,520","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$349,900","1741 Long Acre Dr, Loganville, GA 30052",5,4,"3,166","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$396,000","561 Wagon Hill Ln, Sugar Hill, GA 30518",4,4,"2,851",https://photos.zillowstatic.com/p_e/ISvs5sxwnnbxch0000000000.jpg
"$259,000","2419 Mitford Ct, Dacula, GA 30019",4,3,"2,319",https://photos.zillowstatic.com/p_e/ISrlxdmz9h0jc41000000000.jpg
"$168,000","3154 Corner Oak Dr, Peachtree Corners, GA 30071",2,3,"1,412",https://photos.zillowstatic.com/p_e/ISrx61s6rolist1000000000.jpg
"$300,000","1385 Drakie Ct SW, Lilburn, GA 30047",4,3,"2,674",https://photos.zillowstatic.com/p_e/ISn6zxtoj227m81000000000.jpg
"$210,000","3285 Ridgerock Way, Snellville, GA 30078",3,3,"1,896",https://photos.zillowstatic.com/p_e/IS729yzipguhk01000000000.jpg
"$238,900","2095 Skyland Glen Dr, Snellville, GA 30078",4,3,"2,288",https://photos.zillowstatic.com/p_e/ISbd4xtz0d3uq11000000000.jpg
"$296,230","3752 Stonebranch Ln, Loganville, GA 30052",5,4,"3,412",https://photos.zillowstatic.com/p_e/ISfcmpshotscc61000000000.jpg
"$263,000","4575 Brook Farms Ct, Duluth, GA 30096",3,2,"2,306",https://photos.zillowstatic.com/p_e/ISzbrkue2xnm3a0000000000.jpg
"$232,000","5685 Sugar Creek Ct, Norcross, GA 30093",4,3,"2,432",https://photos.zillowstatic.com/p_e/IS7yldhfcr58n91000000000.jpg
"$180,000","712 Windy Dr, Stone Mountain, GA 30087",3,2,"2,732","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$304,850","1667 Castleberry Ln, Buford, GA 30518",4,4,"2,645","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$368,000","3620 Devenwood Way, Buford, GA 30519",5,4,"2,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$308,650","4028 Brynhill Ln, Buford, GA 30518",5,3,"2,740","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$325,000","345 Brynfield Pkwy #72, Suwanee, GA 30024",4,3,"2,090","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$385,000","1033 Alexander Run Pass, Sugar Hill, GA 30518",5,4,"3,132","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
