price,address,bds,ba,sqft,image
"$214,900","1005 Colvin Dr, Locust Grove, GA 30248",4,2,"2,321",https://photos.zillowstatic.com/p_e/ISzrr7htbo6u440000000000.jpg
"$269,000","1413 New Holland Cir, Mcdonough, GA 30252",4,3,"2,448",https://photos.zillowstatic.com/p_e/ISnaese2rigc1o1000000000.jpg
"$278,000","645 Vendella Cir #73, Mcdonough, GA 30253",5,3,"3,242",https://photos.zillowstatic.com/p_e/ISrtzknh3wdpxz0000000000.jpg
"$226,000","3301 Hancock Point, Mcdonough, GA 30252",4,3,"2,558",https://photos.zillowstatic.com/p_e/IS7m09e9w28tzi1000000000.jpg
"$161,000","5060 Towne Park Dr, Mcdonough, GA 30252",3,2,"1,395",https://photos.zillowstatic.com/p_e/ISnmnz7h9nzttj1000000000.jpg
"$165,000","122 Neal Ave, Stockbridge, GA 30281",4,4,"2,136",https://photos.zillowstatic.com/p_e/IS7qv3qooe613t1000000000.jpg
"$168,000","360 Jasmine Dr #16, Locust Grove, GA 30248",4,2,--,https://photos.zillowstatic.com/p_e/ISny88qx2c7ulm1000000000.jpg
"$250,000","1108 Watercourse Way, Hampton, GA 30228",4,3,"3,091",https://photos.zillowstatic.com/p_e/ISzbfrjp45c1vv1000000000.jpg
"$145,000","327 Holly Ln, Stockbridge, GA 30281",3,2,"1,299",https://photos.zillowstatic.com/p_e/ISn6z1tansrouj0000000000.jpg
"$269,900","471 Best Friends Turn Aly, Mcdonough, GA 30252",4,3,"2,686","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$225,000","2135 Grant Ave, Mcdonough, GA 30252",5,3,"2,384","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$262,000","803 Eggie Ct, Mcdonough, GA 30252",5,3,"3,039","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$354,698","310 Traditions Ln #114, Hampton, GA 30228",5,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
