price,address,bds,ba,sqft,image
"$325,000","1559 Hi Roc Rd NE, Conyers, GA 30012",4,3,"4,800",https://photos.zillowstatic.com/p_e/ISvknsfuv4okpa0000000000.jpg
"$170,000","1474 Bourdon Bell Dr SE, Conyers, GA 30013",3,2,"2,331",https://photos.zillowstatic.com/p_e/ISzzp7adusdmx10000000000.jpg
"$165,000","1242 Pine Knoll Ln NE, Conyers, GA 30013",3,3,"2,062",https://photos.zillowstatic.com/p_e/ISr1mf8m0znz8m0000000000.jpg
"$122,555","1477 Revel Cove Dr SW, Conyers, GA 30094",3,2,"1,196",N/A
"$203,000","1707 Little Brook Dr SW, Conyers, GA 30094",3,2,"1,683",https://photos.zillowstatic.com/p_e/ISvk78xt5wskct1000000000.jpg
"$250,140","1329 Brookstone Lake Dr NE, Conyers, GA 30012",4,3,"2,356",https://photos.zillowstatic.com/p_e/ISjr499t4m4zh30000000000.jpg
"$250,140","1329 Brookstone Lake Dr #70, Conyers, GA 30012",4,3,--,https://photos.zillowstatic.com/p_e/ISjrcff41effo00000000000.jpg
"$429,900","179 Barclay Dr #69, Mcdonough, GA 30252",4,5,--,https://photos.zillowstatic.com/p_e/IS764h6e5fcg6z0000000000.jpg
"$179,000","3320 Coach House Ct, Conyers, GA 30013",3,3,"2,012",https://photos.zillowstatic.com/p_e/ISrlxlc5mxy71p1000000000.jpg
"$25,000","2036 Carr Rd NE, Conyers, GA 30012",2,1,768,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$391,000","1971 Eagle Ridge Dr SW, Conyers, GA 30094",5,4,"4,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$264,100","2324 Deerfield Chase SE, Conyers, GA 30013",4,3,"2,378","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$198,000","2105 Lost Forest Ln SW, Conyers, GA 30094",3,2,"2,559","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$110,000","1680 Holmes Dr SW, Conyers, GA 30094",5,4,"2,091","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$198,950","1665 Valley View Rd, Covington, GA 30016",3,2,"2,538","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$420,400","1408 Kings Point Way SW, Conyers, GA 30094",5,4,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$180,000","2346 Jennas Way SE, Conyers, GA 30013",3,2,"1,731","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$198,000","2105 Lost Forest Ln SW #20, Conyers, GA 30094",3,2,"2,559","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$244,977","2260 Annes Lake Cir #33, Lithonia, GA 30058",4,3,"2,135","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$146,360","0 Chandler Rd NE, Conyers, GA 30012",13.97,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$239,900","2410 Twin Branches Ln, Conyers, GA 30013",4,3,"2,599","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$233,300","105 Shadow Lake Dr, Conyers, GA 30094",4,2,"2,345","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$274,900","576 Clubland Cir SE, Conyers, GA 30094",6,4,"3,607","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,000","2000 Ebenezer Rd SW, Conyers, GA 30094",3,3,"3,682","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$205,000","3897 Hunters Chase SW, Conyers, GA 30094",4,3,"2,516","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$245,000","1900 Bent Oak Way, Conyers, GA 30013",5,3,"2,790","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$332,000","2381 Lost Valley Trl SE, Conyers, GA 30094",5,4,"5,118","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,000","1860 Mcdaniel Mill Rd SW, Conyers, GA 30094",3,3,"2,126","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$359,900","1305 Ruth Ln SW, Conyers, GA 30094",4,1,--,N/A
"$169,000","520 Sugar Valley Ln SE, Conyers, GA 30094",4,3,"2,062","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$139,000","1937 Paces Landing Ct NW, Conyers, GA 30012",4,3,"2,092","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$113,000","1149 Crestview Cir NE, Conyers, GA 30012",3,1,"1,040","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
